video_id,title,shorts_url,isLive,membersOnly,evidence
VgT1McndFgE,ロックマンシリーズに慣れてきたプレイヤーが察してしまうこと #Shorts #vtuber #ロックマン,https://www.youtube.com/shorts/VgT1McndFgE,False,False,youtube_channel_shorts_tab
LyL65QsNFb4,コメント欄で不正を働くVTuber #Shorts #vtuber #イチダントアール,https://www.youtube.com/shorts/LyL65QsNFb4,False,False,youtube_channel_shorts_tab
b9_lbLYpk2M,今やろうと思っていたメイド #shorts #vtuber,https://www.youtube.com/shorts/b9_lbLYpk2M,False,False,youtube_channel_shorts_tab
rTgMV8EZILg,登録者4000人を祝ってほしいメイド #Shorts #vtuber,https://www.youtube.com/shorts/rTgMV8EZILg,False,False,youtube_channel_shorts_tab
V7wTcX9VlSc,七夕のメイド #shorts #vtuber,https://www.youtube.com/shorts/V7wTcX9VlSc,False,False,youtube_channel_shorts_tab
N12H9k_x3C8,あまりにもクソガキすぎるメイド #Shorts #vtuber #ロックマン,https://www.youtube.com/shorts/N12H9k_x3C8,False,False,youtube_channel_shorts_tab
7_6kRy_yzU8,【悲報】Shorts消える #shorts #vtuber,https://www.youtube.com/shorts/7_6kRy_yzU8,False,False,youtube_channel_shorts_tab
habYMTRTB_E,コントローラーの充電が最悪のタイミングで切れる自業自得のVTuber #Shorts #vtuber #スーパーメトロイド,https://www.youtube.com/shorts/habYMTRTB_E,False,False,youtube_channel_shorts_tab
eKywGTigC5g,前向きなメイド　#shorts #vtuber,https://www.youtube.com/shorts/eKywGTigC5g,False,False,youtube_channel_shorts_tab
i1IywSvikZ4,初見殺しの度に桜井政博を疑うVTuber #Shorts #vtuber #スーパーメトロイド,https://www.youtube.com/shorts/i1IywSvikZ4,False,False,youtube_channel_shorts_tab
0BoJAhG2P_U,【質問】どうしてレトロゲームばっかりやってるの？ #Shorts #vtuber,https://www.youtube.com/shorts/0BoJAhG2P_U,False,False,youtube_channel_shorts_tab
77TxhuqXFAA,VTuber界で一番口が立つ女がASMRを熱く語る #Shorts #vtuber #asmr,https://www.youtube.com/shorts/77TxhuqXFAA,False,False,youtube_channel_shorts_tab
EWpVTCjQdZ4,そろそろ一周年のメイド #Shorts #vtuber,https://www.youtube.com/shorts/EWpVTCjQdZ4,False,False,youtube_channel_shorts_tab
UWdao5yzL2Y,NintendoSwitch2の抽選を忘れていたご主人  #Shorts #vtuber #nintendoswitch2,https://www.youtube.com/shorts/UWdao5yzL2Y,False,False,youtube_channel_shorts_tab
vXIqUgeJh8M,恐らく無課金の魔法使い #shorts #vtuber,https://www.youtube.com/shorts/vXIqUgeJh8M,False,False,youtube_channel_shorts_tab
