title	video_url	thumnail_url
【朝活】語り合おう氷室【雑談】	https://www.youtube.com/watch?v=YylWk6B6b1c	https://i.ytimg.com/vi/YylWk6B6b1c/hqdefault.jpg
【クラッシュバンディクーレーシング】泣きのリベンジでクラッシュと吠える【レトロゲーム】	https://www.youtube.com/watch?v=Sujr0YkvmXw	https://i.ytimg.com/vi/Sujr0YkvmXw/hqdefault.jpg
【バーガーバーガー】ここにバーガー千年帝国を築くでございます【レトロゲーム】	https://www.youtube.com/watch?v=C0dPLKe2kUY	https://i.ytimg.com/vi/C0dPLKe2kUY/hqdefault.jpg
【ゼルダの伝説神々のトライフォース】人生初！ゼルダの伝説にとうとう触れるメイド【レトロゲーム】	https://www.youtube.com/watch?v=YEmzBMny_Jc	https://i.ytimg.com/vi/YEmzBMny_Jc/hqdefault.jpg
【ポケモンスナップ】撮るか、ポケモンの写真ってやつを【レトロゲーム】	https://www.youtube.com/watch?v=ukQLIPqiBNU	https://i.ytimg.com/vi/ukQLIPqiBNU/hqdefault.jpg
【クラッシュバンディクーレーシング】クラッシュが喋るレースゲーム【レトロゲーム】	https://www.youtube.com/watch?v=frFzuZ9xVzM	https://i.ytimg.com/vi/frFzuZ9xVzM/hqdefault.jpg
【クラッシュ・バンディクー2】喋らなくなってしまったクラッシュを救いに行く【レトロゲーム】	https://www.youtube.com/watch?v=Bzy8WNlkJcU	https://i.ytimg.com/vi/Bzy8WNlkJcU/hqdefault.jpg
【メタルギアソリッド】完全初見MGS！20世紀最高のシナリオを味わい尽くす【METALGEARSOLID】	https://www.youtube.com/watch?v=dAXuYljvPig	https://i.ytimg.com/vi/dAXuYljvPig/hqdefault.jpg
【不思議のダンジョン 風来のシレン外伝 女剣士アスカ見参!】配信外でボスまで行って負けた女【レトロゲーム】	https://www.youtube.com/watch?v=cVVsSBiSHF0	https://i.ytimg.com/vi/cVVsSBiSHF0/hqdefault.jpg
【朝活】コメントとの対話【雑談】	https://www.youtube.com/watch?v=JoqzOVhb-Y8	https://i.ytimg.com/vi/JoqzOVhb-Y8/hqdefault.jpg
【バーガーバーガー】新装開店！最強のハンバーガーショップを作るメイド【レトロゲーム】	https://www.youtube.com/watch?v=x4o3I7VPxT0	https://i.ytimg.com/vi/x4o3I7VPxT0/hqdefault.jpg
【メタルギアソリッド】完全初見MGS！この物語を味わい尽くす【METALGEARSOLID】	https://www.youtube.com/watch?v=zp1xOiuK6sA	https://i.ytimg.com/vi/zp1xOiuK6sA/hqdefault.jpg
【ロックマンX3】完全初見で歴代最強らしいシグマを倒す【レトロゲーム】	https://www.youtube.com/watch?v=NdRDoqJvVYY	https://i.ytimg.com/vi/NdRDoqJvVYY/hqdefault.jpg
【クラッシュバンディクー2】とうとう2を始めるぞ！ヤ゛ッダァア゛ァイ！！【コルテックスのぎゃくしゅう！】	https://www.youtube.com/watch?v=GfL6QiHyZh0	https://i.ytimg.com/vi/GfL6QiHyZh0/hqdefault.jpg
【不思議のダンジョン 風来のシレン外伝 女剣士アスカ見参!】おやすみだし昼からシレンやっちゃお〜【レトロゲーム】	https://www.youtube.com/watch?v=Ytc19a22OYc	https://i.ytimg.com/vi/Ytc19a22OYc/hqdefault.jpg
【ペプシマン】なぜか超プレミアのついている謎のゲームを遊ぶ【PEPSIMAN】	https://www.youtube.com/watch?v=kNQn5ldhRN4	https://i.ytimg.com/vi/kNQn5ldhRN4/hqdefault.jpg
【メタルギアソリッド】完全初見MGS！本気で考察し、スニーキングする【METALGEARSOLID】	https://www.youtube.com/watch?v=T_QM-iZFR_0	https://i.ytimg.com/vi/T_QM-iZFR_0/hqdefault.jpg
【光神話パルテナの鏡】これをクリア出来たら誇らしいぞ【レトロゲーム】	https://www.youtube.com/watch?v=QEvR6s4cx9c	https://i.ytimg.com/vi/QEvR6s4cx9c/hqdefault.jpg
【朝活】夏も終わってしまって朝活【雑談】	https://www.youtube.com/watch?v=rYTyytseAqY	https://i.ytimg.com/vi/rYTyytseAqY/hqdefault.jpg
【ロックマンX3】完全初見で残り4ボスなフットパーツメイド【レトロゲーム】	https://www.youtube.com/watch?v=TorEo5xTok0	https://i.ytimg.com/vi/TorEo5xTok0/hqdefault.jpg
【メタルギアソリッド】完全初見MGS！メイドよ、侵入せよ【METALGEARSOLID】	https://www.youtube.com/watch?v=paoaGeezUaw	https://i.ytimg.com/vi/paoaGeezUaw/hqdefault.jpg
【ポケットモンスター赤】 一ヶ月前に全滅した人生縛り、復活【レトロゲーム】	https://www.youtube.com/watch?v=_edHUuMfufo	https://i.ytimg.com/vi/_edHUuMfufo/hqdefault.jpg
【悪代官】正義の味方を罠で粉砕、悪代官よ永遠なれ【レトロゲーム】	https://www.youtube.com/watch?v=S6VcquEM8Ac	https://i.ytimg.com/vi/S6VcquEM8Ac/hqdefault.jpg
【光神話パルテナの鏡】あまりにも遠い天界【レトロゲーム】	https://www.youtube.com/watch?v=M_xizwAFifQ	https://i.ytimg.com/vi/M_xizwAFifQ/hqdefault.jpg
【朝活】コメントを読みのびのび朝活【雑談】	https://www.youtube.com/watch?v=LJVS96LM7fg	https://i.ytimg.com/vi/LJVS96LM7fg/hqdefault.jpg
【ロックマンX3】鍛え上げたロックマンX筋を見せる時がきたでございます【レトロゲーム】	https://www.youtube.com/watch?v=XlgRazMmOYo	https://i.ytimg.com/vi/XlgRazMmOYo/hqdefault.jpg
【不思議のダンジョン 風来のシレン外伝 女剣士アスカ見参!】ローグライク最強メイド その2【レトロゲーム】	https://www.youtube.com/watch?v=Q6O9Ua8WGz4	https://i.ytimg.com/vi/Q6O9Ua8WGz4/hqdefault.jpg
【悪代官】悪代官になって正義の味方どもと戦うゲーム【レトロゲーム】	https://www.youtube.com/watch?v=haVH3_RePSs	https://i.ytimg.com/vi/haVH3_RePSs/hqdefault.jpg
【ぼくのなつやすみ2】さよならカスのおねえちゃん、最終回【海の冒険篇】	https://www.youtube.com/watch?v=kk7o8uJPu50	https://i.ytimg.com/vi/kk7o8uJPu50/hqdefault.jpg
キッズの家に遊びに来るカスのおねえちゃん	https://www.youtube.com/watch?v=ChO4doJBm3Y	https://i.ytimg.com/vi/ChO4doJBm3Y/hqdefault.jpg
【光神話パルテナの鏡】高難易度天使アクションをやっていこうじゃないか【レトロゲーム】	https://www.youtube.com/watch?v=zZiowr6Wl_4	https://i.ytimg.com/vi/zZiowr6Wl_4/hqdefault.jpg
【雑談】帯広ばんえい競馬「氷室うつろ8/23生誕記念」レースを見よう！	https://www.youtube.com/watch?v=BrcB0xKsssk	https://i.ytimg.com/vi/BrcB0xKsssk/hqdefault.jpg
【朝活】氷室うつろ補充枠	https://www.youtube.com/watch?v=GjkAoJEau1s	https://i.ytimg.com/vi/GjkAoJEau1s/hqdefault.jpg
【セプテントリオン】誰でもいいから誰か助けて沈没する船から脱出しよう！【Septentrion】	https://www.youtube.com/watch?v=mE17w_M31ms	https://i.ytimg.com/vi/mE17w_M31ms/hqdefault.jpg
【朝活】おはよう氷室【雑談】	https://www.youtube.com/watch?v=4WZpIAvyKoE	https://i.ytimg.com/vi/4WZpIAvyKoE/hqdefault.jpg
【アスカ見参！】全てのシレンジャーの憧れに挑むメイド その1【不思議のダンジョン 風来のシレン外伝 女剣士アスカ見参!】	https://www.youtube.com/watch?v=A4mdeUBfPkI	https://i.ytimg.com/vi/A4mdeUBfPkI/hqdefault.jpg
【悪代官】悪代官になって小うるさい正義の味方どもを倒すゲーム【レトロゲーム】	https://www.youtube.com/watch?v=e5FfH9mvu6M	https://i.ytimg.com/vi/e5FfH9mvu6M/hqdefault.jpg
【ヨッシーアイランド】完全初見、子連れ狼【レトロゲーム】	https://www.youtube.com/watch?v=_ve22QsZgVM	https://i.ytimg.com/vi/_ve22QsZgVM/hqdefault.jpg
【氷室うつろ生誕祭2025】8月23日、初めての誕生日！ご主人様〜！お祝いしてくださいませ〜！	https://www.youtube.com/watch?v=0JCxdZj8QjY	https://i.ytimg.com/vi/0JCxdZj8QjY/hqdefault.jpg
【セプテントリオン】伝説のゲームでバースデーカウントダウンをするメイド【レトロゲーム】	https://www.youtube.com/watch?v=OFl_f2_xFNY	https://i.ytimg.com/vi/OFl_f2_xFNY/hqdefault.jpg
【ぼくのなつやすみ2】カスのおねえちゃんとキッズのなつやすみ、三週目【海の冒険篇】	https://www.youtube.com/watch?v=luPDJTrzdqY	https://i.ytimg.com/vi/luPDJTrzdqY/hqdefault.jpg
【朝活】いっぱい喋って遠くに行こう朝活【雑談】	https://www.youtube.com/watch?v=0tqbUdO174A	https://i.ytimg.com/vi/0tqbUdO174A/hqdefault.jpg
【スーパードンキーコング】3時間でどこまでいけるかチャレンジ【レトロゲーム】	https://www.youtube.com/watch?v=S_w3X6A7q4Q	https://i.ytimg.com/vi/S_w3X6A7q4Q/hqdefault.jpg
【バイオハザードRE:2】クレア裏をやり、悪を打ち倒す【RESIDENT EVIL】	https://www.youtube.com/watch?v=h3G8-UpAqLw	https://i.ytimg.com/vi/h3G8-UpAqLw/hqdefault.jpg
【マリオ2】負けるな！8面を諦めないメイド【スーパーマリオブラザーズ2】	https://www.youtube.com/watch?v=f0GMiT32a_Q	https://i.ytimg.com/vi/f0GMiT32a_Q/hqdefault.jpg
【朝活】見守っていたら3万人記念配信になった配信【雑談】	https://www.youtube.com/watch?v=o7C0cU75nOI	https://i.ytimg.com/vi/o7C0cU75nOI/hqdefault.jpg
【ヨッシーアイランド】100点を目指しつつ仲良く頑張るぞ！【レトロゲーム】	https://www.youtube.com/watch?v=cELxpzFHHgY	https://i.ytimg.com/vi/cELxpzFHHgY/hqdefault.jpg
【ドラゴンボールZ超武闘伝2】ベジータなどを操作してはしゃぐだけの配信【レトロゲーム】	https://www.youtube.com/watch?v=ltD10iG57dY	https://i.ytimg.com/vi/ltD10iG57dY/hqdefault.jpg
【帰ってきた魔界村】4面から！シリーズ最新作にして最高難易度に挑むメイド【氷室うつろ】	https://www.youtube.com/watch?v=nclw9pBtXHg	https://i.ytimg.com/vi/nclw9pBtXHg/hqdefault.jpg
【#バイオハザードRE2】クレア裏編開始！真エンディングを目指していくメイド【BIOHAZARD RE:2】	https://www.youtube.com/watch?v=x5yrhUrfQQE	https://i.ytimg.com/vi/x5yrhUrfQQE/hqdefault.jpg
【＃ぼくのなつやすみ2】カスのおねえちゃんとキッズのなつやすみ、二週目【海の冒険篇】	https://www.youtube.com/watch?v=yMaPfO1m1hA	https://i.ytimg.com/vi/yMaPfO1m1hA/hqdefault.jpg
夏祭りを楽しみ尽くすカスのおねえちゃん	https://www.youtube.com/watch?v=nqdkyv3XNYE	https://i.ytimg.com/vi/nqdkyv3XNYE/hqdefault.jpg
【＃朝活】朝活レインボー雑談デラックス【＃雑談】	https://www.youtube.com/watch?v=0wR9UllMmII	https://i.ytimg.com/vi/0wR9UllMmII/hqdefault.jpg
【＃帰ってきた魔界村】完全初見！シリーズ最難関の村に帰省する【魔界村】	https://www.youtube.com/watch?v=JXqzCfHyCBQ	https://i.ytimg.com/vi/JXqzCfHyCBQ/hqdefault.jpg
【#バイオハザードRE2】完全初見！エイダ鬼つええ！このまま逆らうやつら全員ハッキングしていこうぜ！【BIOHAZARD RE:2】	https://www.youtube.com/watch?v=qBFAKp5QJYs	https://i.ytimg.com/vi/qBFAKp5QJYs/hqdefault.jpg
【＃ぼくのなつやすみ2】カスのおねえちゃんとキッズのなつやすみ【海の冒険篇】	https://www.youtube.com/watch?v=sbzwoi--gTc	https://i.ytimg.com/vi/sbzwoi--gTc/hqdefault.jpg
【＃ロックマンX2】完全初見！パーフェクト状態でシグマを倒すメイド【＃レトロゲーム】	https://www.youtube.com/watch?v=gimylStHrG4	https://i.ytimg.com/vi/gimylStHrG4/hqdefault.jpg
【雑談】とにかく喋るメイド	https://www.youtube.com/watch?v=xjyDZmcoIh0	https://i.ytimg.com/vi/xjyDZmcoIh0/hqdefault.jpg
【＃メトロイドドレッド】クリア耐久！グラビティスーツで頑張るメイドレッド【＃METOROIDDREAD】	https://www.youtube.com/watch?v=_sIcOTg5Njg	https://i.ytimg.com/vi/_sIcOTg5Njg/hqdefault.jpg
【#バイオハザードRE2】完全初見！警察署脱出しても詰んでいるメイド【BIOHAZARD RE:2】	https://www.youtube.com/watch?v=M8T2ZjNqMB4	https://i.ytimg.com/vi/M8T2ZjNqMB4/hqdefault.jpg
【 #グラディウス】本日発売！！グラディウスオリジンコレクション！【グラディウスオリジンコレクション】	https://www.youtube.com/watch?v=pohfiCDI_Fs	https://i.ytimg.com/vi/pohfiCDI_Fs/hqdefault.jpg
【＃朝活】大いにコメントを読みいっぱい喋る氷室【＃雑談】	https://www.youtube.com/watch?v=UcFSiythlsk	https://i.ytimg.com/vi/UcFSiythlsk/hqdefault.jpg
【＃ロックマンX2】完全初見！連打で全てを解決するスーパーエックスくん【＃レトロゲーム】	https://www.youtube.com/watch?v=H4Owz5Dl7cw	https://i.ytimg.com/vi/H4Owz5Dl7cw/hqdefault.jpg
【#ポケットモンスター赤】＃7 完全初見人生縛り、全てのバッジを集めるぞ！【＃レトロゲーム】	https://www.youtube.com/watch?v=nfIenLZfGn0	https://i.ytimg.com/vi/nfIenLZfGn0/hqdefault.jpg
【#バイオハザードRE2】完全初見！WELLCOME UTSURO！【BIOHAZARD RE:2】	https://www.youtube.com/watch?v=sdavURTf6nU	https://i.ytimg.com/vi/sdavURTf6nU/hqdefault.jpg
【＃ロックマンX2】完全初見！大好きなXシリーズに新モデルで挑むぞ！【＃レトロゲーム】	https://www.youtube.com/watch?v=wZ7Pcvw6BgQ	https://i.ytimg.com/vi/wZ7Pcvw6BgQ/hqdefault.jpg
【2.0お披露目】ゲーマーメイド氷室うつろのすごい進化をご覧に入れましょう！	https://www.youtube.com/watch?v=MqAIcwm2bdY	https://i.ytimg.com/vi/MqAIcwm2bdY/hqdefault.jpg
【＃メトロイドドレッド】最強チェイスメイド【＃METOROIDDREAD】	https://www.youtube.com/watch?v=F6yj9mW-1FE	https://i.ytimg.com/vi/F6yj9mW-1FE/hqdefault.jpg
不老不死マウントがすごいメイド	https://www.youtube.com/watch?v=syXco094Fs0	https://i.ytimg.com/vi/syXco094Fs0/hqdefault.jpg
【#ポケットモンスター赤】＃6 完全初見人生縛り、最大の難関キョウ・ナツメ編【＃レトロゲーム】	https://www.youtube.com/watch?v=gW1Adu1kT6g	https://i.ytimg.com/vi/gW1Adu1kT6g/hqdefault.jpg
【＃歌枠】誕生日月が始まったから歌わせてほしい【＃朝活】	https://www.youtube.com/watch?v=vgmn2wmpLoo	https://i.ytimg.com/vi/vgmn2wmpLoo/hqdefault.jpg
【＃ヨッシーアイランド】ほのぼのしてそうだと思ったのに普通に苦戦しているメイド【＃レトロゲーム】	https://www.youtube.com/watch?v=8IlvBmOhYHw	https://i.ytimg.com/vi/8IlvBmOhYHw/hqdefault.jpg
【＃朝活】いっぱい喋ろうようつろ【＃雑談】	https://www.youtube.com/watch?v=bX0z4EI4-u4	https://i.ytimg.com/vi/bX0z4EI4-u4/hqdefault.jpg
【＃ソニックザヘッジホッグ】SEGAの看板！1500万本売れた傑作ゲームを遊ぶ！【＃SonictheHedgehog】	https://www.youtube.com/watch?v=N8X8sT2e1Y0	https://i.ytimg.com/vi/N8X8sT2e1Y0/hqdefault.jpg
【#ポケットモンスター赤】＃5 完全初見人生縛り、セキチクシティに向かうぞ！【＃レトロゲーム】	https://www.youtube.com/watch?v=m_a1r0NFmvo	https://i.ytimg.com/vi/m_a1r0NFmvo/hqdefault.jpg
【＃メトロイドドレッド】完全初見！メイドレッドを制するド【＃METOROIDDREAD】	https://www.youtube.com/watch?v=l_W9Uz9sM8Y	https://i.ytimg.com/vi/l_W9Uz9sM8Y/hqdefault.jpg
【＃ヨッシーアイランド】完全初見！謎のヨッシーアクションをやるメイド【＃レトロゲーム】	https://www.youtube.com/watch?v=UvRLPHRA0X4	https://i.ytimg.com/vi/UvRLPHRA0X4/hqdefault.jpg
【#スーパーマリオブラザーズ2】8面をクリアしようと思うな。8面を愛せ【＃レトロゲーム】	https://www.youtube.com/watch?v=peNHu6S7zPc	https://i.ytimg.com/vi/peNHu6S7zPc/hqdefault.jpg
【#ポケットモンスター赤】＃4 完全初見人生縛り、4つ目のバッジはどこなのだ【＃レトロゲーム】	https://www.youtube.com/watch?v=9dB6p-jc-j8	https://i.ytimg.com/vi/9dB6p-jc-j8/hqdefault.jpg
【＃メトロイドドレッド】完全初見！メトロイドシリーズ最新作をやるメイド【＃METOROIDDREAD】	https://www.youtube.com/watch?v=WQ8vEr7vSgY	https://i.ytimg.com/vi/WQ8vEr7vSgY/hqdefault.jpg
【#朝活】いっぱい話そうよ氷室【＃雑談】	https://www.youtube.com/watch?v=gQuQfCVozZQ	https://i.ytimg.com/vi/gQuQfCVozZQ/hqdefault.jpg
【#ポケットモンスター赤】＃3 完全初見人生縛り、バッジ4つ目【＃レトロゲーム】	https://www.youtube.com/watch?v=Ka2MDtT_qyI	https://i.ytimg.com/vi/Ka2MDtT_qyI/hqdefault.jpg
【#ロウオブザウエスト】保安官は人を●っても無罪なゲーム、西部の掟【＃レトロゲーム】	https://www.youtube.com/watch?v=zgYoJfz1iGM	https://i.ytimg.com/vi/zgYoJfz1iGM/hqdefault.jpg
【#バイオハザード】完全初見でクリアまで！全ての裏切りに銃弾を【＃バイオハザードHDリマスター】	https://www.youtube.com/watch?v=3igMR3PXYbE	https://i.ytimg.com/vi/3igMR3PXYbE/hqdefault.jpg
【#ポケットモンスター赤】＃2 完全初見の人生縛り、おつきみやまにきた【＃レトロゲーム】	https://www.youtube.com/watch?v=pg2FCckFjms	https://i.ytimg.com/vi/pg2FCckFjms/hqdefault.jpg
【＃歌枠】今まで歌ってなかったものを歌う【#shorts 】	https://www.youtube.com/watch?v=Ynb-ilHgfeE	https://i.ytimg.com/vi/Ynb-ilHgfeE/hqdefault.jpg
【#ロックマン8】ネジを集め、ワイリーを倒す【＃レトロゲーム】	https://www.youtube.com/watch?v=aVqSjL6QyOw	https://i.ytimg.com/vi/aVqSjL6QyOw/hqdefault.jpg
【#ポケットモンスター赤】＃1 完全初見の人生縛りで初代ポケモン赤をやっていくメイド【＃レトロゲーム】	https://www.youtube.com/watch?v=-9_MdU7zCws	https://i.ytimg.com/vi/-9_MdU7zCws/hqdefault.jpg
【#バイオハザード】完全初見！館の扉全開放！クライマックスきた！？【＃バイオハザードHDリマスター】	https://www.youtube.com/watch?v=4jov-n1sOD0	https://i.ytimg.com/vi/4jov-n1sOD0/hqdefault.jpg
【#朝活】朝から元気だね氷室【＃雑談】	https://www.youtube.com/watch?v=BfTfrPYUaao	https://i.ytimg.com/vi/BfTfrPYUaao/hqdefault.jpg
【#ロックマン8】完全初見！一旦ワイリーを土下座させに行こうじゃないか【＃レトロゲーム】	https://www.youtube.com/watch?v=NR9B1UW07Xc	https://i.ytimg.com/vi/NR9B1UW07Xc/hqdefault.jpg
